vehicle_number,vehicle_name,timestamp,order,Sensor_Hours,NOx,NOx_max,NOx_min,NOx_dp,samples,O2,position,label_parado_nox
119,truck_1709648962,1.70883E+12,13372,12,330,969,236,176,1200,16.82,POINT(-43.1874797 -22.9137367),False
119,truck_1709648962,1.70883E+12,13371,12,565,957,18,229,1200,14.06,POINT(-43.1873373 -22.9135468),False
119,truck_1709648962,1.70883E+12,13370,12,277,530,85,120,1200,17.13,POINT(-43.1873740 -22.9137250),False
119,truck_1709648962,1.70883E+12,13369,12,230,284,187,23,1200,17.71,POINT(-43.1873732 -22.9137258),True
119,truck_1709648962,1.70883E+12,13368,12,241,243,240,1,1200,17.68,POINT(-43.1873858 -22.9137597),True
119,truck_1709648962,1.70883E+12,13367,12,240,243,239,1,1200,17.68,POINT(-43.1873793 -22.9137348),True
119,truck_1709648962,1.70883E+12,13366,12,241,242,240,1,1200,17.69,POINT(-43.1873875 -22.9137073),True
119,truck_1709648962,1.70883E+12,13365,12,241,242,239,1,1200,17.7,POINT(-43.1873572 -22.9136982),True
119,truck_1709648962,1.70883E+12,13364,12,240,242,239,1,1200,17.7,POINT(-43.1873798 -22.9137337),True
119,truck_1709648962,1.70883E+12,13363,12,241,245,239,2,1200,17.68,POINT(-43.1873592 -22.9137120),True
119,truck_1709648962,1.70883E+12,13362,12,240,241,239,1,1200,17.68,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70883E+12,13361,12,240,241,238,0,1200,17.69,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70883E+12,13360,12,238,240,238,0,1200,17.7,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70883E+12,13359,12,237,239,235,1,1200,17.71,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13358,12,237,238,236,1,1200,17.7,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13357,12,233,238,225,3,1200,17.75,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13356,12,232,234,225,3,1200,17.75,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13355,12,234,235,232,1,1200,17.73,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13354,12,234,235,233,0,1200,17.71,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13353,12,236,238,233,1,1200,17.69,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13352,12,239,247,236,3,1200,17.67,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13351,12,244,270,236,11,1200,17.63,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13350,12,310,526,119,76,1200,16.83,POINT(0.0000000 0.0000000),False
119,truck_1709648962,1.70882E+12,13349,12,247,497,104,66,1200,17.28,POINT(0.0000000 0.0000000),False
119,truck_1709648962,1.70882E+12,13348,12,237,238,236,0,1200,17.73,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13347,12,239,242,237,1,1200,17.71,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13346,12,238,240,237,1,1200,17.71,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13345,12,239,240,237,1,1200,17.71,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13344,12,239,240,238,1,1200,17.72,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13343,12,241,242,239,1,1200,17.71,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13342,12,263,273,241,12,1200,17.49,POINT(0.0000000 0.0000000),False
119,truck_1709648962,1.70882E+12,13341,12,282,427,267,31,1200,17.3,POINT(0.0000000 0.0000000),False
119,truck_1709648962,1.70882E+12,13340,12,319,838,243,129,1200,16.99,POINT(0.0000000 0.0000000),False
119,truck_1709648962,1.70882E+12,13339,12,244,246,242,1,1200,17.63,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13338,12,243,245,241,1,1200,17.63,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13337,12,247,255,244,3,1200,17.59,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13336,12,247,248,245,1,1200,17.61,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13335,12,246,247,245,1,1200,17.61,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13334,12,246,247,244,1,1200,17.63,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13333,12,244,246,242,1,1200,17.63,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13332,12,241,243,238,1,1200,17.62,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13331,12,238,241,234,2,1200,17.59,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13330,12,230,235,225,3,1200,17.62,POINT(0.0000000 0.0000000),True
119,truck_1709648962,1.70882E+12,13329,12,215,226,205,7,1200,17.67,POINT(-43.1878468 -22.9137650),True
119,truck_1709648962,1.70882E+12,13328,12,199,209,187,6,1200,17.64,POINT(-43.1878163 -22.9137508),True
119,truck_1709648962,1.70882E+12,13327,12,172,187,157,9,1200,17.63,POINT(-43.1879223 -22.9136628),True
119,truck_1709648962,1.70882E+12,13326,12,143,157,132,7,1200,17.6,POINT(-43.1879742 -22.9136278),True
119,truck_1709648962,1.70882E+12,13325,12,120,132,107,7,1200,17.59,POINT(-43.1880105 -22.9136703),True
119,truck_1709648962,1.70882E+12,13324,12,79,109,39,23,1200,17.31,POINT(-43.1879935 -22.9135955),True
119,truck_1709648962,1.70882E+12,13323,12,29,106,12,21,1200,16.88,POINT(-43.1880007 -22.9138005),True
119,truck_1709648962,1.70882E+12,13322,12,26,66,3,8,1200,16.78,POINT(-43.1894455 -22.9145010),True
119,truck_1709648962,1.70882E+12,13321,12,41,124,0,25,1200,14.12,POINT(-43.1913220 -22.9130270),True
119,truck_1709648962,1.70882E+12,13320,12,58,136,20,24,1200,12.81,POINT(-43.1931673 -22.9116948),True
119,truck_1709648962,1.70882E+12,13319,12,63,139,24,29,1200,13.64,POINT(-43.1944922 -22.9096392),True
119,truck_1709648962,1.70882E+12,13318,12,48,121,4,26,1200,12.59,POINT(-43.1996933 -22.9090828),True
119,truck_1709648962,1.70882E+12,13317,12,64,160,6,41,1200,12.47,POINT(-43.2051343 -22.9099088),True
119,truck_1709648962,1.70882E+12,13316,12,52,109,8,22,1200,15.23,POINT(-43.2099890 -22.9065498),True
119,truck_1709648962,1.70882E+12,13315,12,96,150,50,25,1200,10.29,POINT(-43.2120038 -22.8979727),True
119,truck_1709648962,1.70882E+12,13314,12,82,145,3,35,1200,9.04,POINT(-43.2178170 -22.8897927),True
119,truck_1709648962,1.70882E+12,13313,12,37,76,0,18,1200,13.07,POINT(-43.2254958 -22.8861413),True
119,truck_1709648962,1.70882E+12,13312,12,53,80,27,13,1200,11.65,POINT(-43.2341363 -22.8865163),True
119,truck_1709648962,1.70882E+12,13311,12,69,130,23,18,1200,9.67,POINT(-43.2408032 -22.8786693),True
119,truck_1709648962,1.70882E+12,13310,12,62,115,7,26,1200,13.47,POINT(-43.2468213 -22.8718987),True
119,truck_1709648962,1.70882E+12,13309,12,92,167,13,36,1200,10.1,POINT(-43.2577410 -22.8716482),True
119,truck_1709648962,1.70882E+12,13308,12,86,356,0,88,1200,11.3,POINT(-43.2667312 -22.8728423),False
119,truck_1709648962,1.70882E+12,13307,12,142,986,4,193,1200,14.26,POINT(-43.2678712 -22.8730083),False
119,truck_1709648962,1.70882E+12,13306,12,317,785,7,245,1200,12.61,POINT(-43.2711332 -22.8714692),False
119,truck_1709648962,1.70882E+12,13305,12,399,780,6,256,1200,10.44,POINT(-43.2782665 -22.8738917),False
119,truck_1709648962,1.70882E+12,13304,12,376,1159,16,255,1200,14.06,POINT(-43.2765588 -22.8706832),False
119,truck_1709648962,1.70882E+12,13303,12,253,255,251,1,1200,17.47,POINT(-43.2770648 -22.8705518),False
119,truck_1709648962,1.70882E+12,13302,12,256,258,253,1,1200,17.45,POINT(-43.2770708 -22.8705445),False
119,truck_1709648962,1.70882E+12,13301,12,258,261,256,1,1200,17.45,POINT(-43.2770857 -22.8705598),False
119,truck_1709648962,1.70882E+12,13300,12,261,264,259,1,1200,17.46,POINT(-43.2770878 -22.8705913),False
119,truck_1709648962,1.70882E+12,13299,12,266,270,263,2,1200,17.47,POINT(-43.2770630 -22.8706287),False
119,truck_1709648962,1.70882E+12,13298,12,287,303,269,15,1200,17.28,POINT(-43.2770682 -22.8706127),False
119,truck_1709648962,1.70882E+12,13297,12,312,341,303,8,1200,17.2,POINT(-43.2771033 -22.8705653),False
119,truck_1709648962,1.70882E+12,13296,12,183,497,154,56,1200,18.3,POINT(-43.2771508 -22.8705182),False
119,truck_1709648962,1.7088E+12,13295,12,40,197,2,68,1200,18.43,POINT(-43.2785750 -22.8700883),False
119,truck_1709648962,1.7088E+12,13294,11,0,2,0,1,1200,18.37,POINT(-43.2779302 -22.8703387),True
